id	filename	md5	size	state
2458c146-74ef-4c2a-b2b4-1bb6ab5292a9	2458c146-74ef-4c2a-b2b4-1bb6ab5292a9/fd0dc2d4-4a8e-4f37-8e1c-320193ace083.rna_seq.augmented_star_gene_counts.tsv	47ad57ab57fb8688a3c5e625c26c1cdb	4242748	validated
34eded85-bb51-4577-a728-152f6914ed1a	34eded85-bb51-4577-a728-152f6914ed1a/e88178d8-35c0-4578-b52b-30ebe4847b6e.rna_seq.augmented_star_gene_counts.tsv	0011c64ded2fab1cb26ed62d3039c354	4231523	validated
477a4ae1-84c0-49f2-b3b3-4015b8c26f18	477a4ae1-84c0-49f2-b3b3-4015b8c26f18/4250878d-ba0b-47e1-96c6-f2331f93ce37.rna_seq.augmented_star_gene_counts.tsv	ea45d49f0aff6cb935f93fcfd9beaef5	4237877	validated
4bed9101-07f4-4d76-b79f-6eb8de04bd19	4bed9101-07f4-4d76-b79f-6eb8de04bd19/2856d609-b09a-486e-8552-23abaa1df201.rna_seq.augmented_star_gene_counts.tsv	c4664928ffeed375a6ab93a7a80d8db1	4243935	validated
4c8938ac-74ea-46f3-af36-8aa38d01e380	4c8938ac-74ea-46f3-af36-8aa38d01e380/a01b2990-48f1-4513-8438-df7d1c39b51f.rna_seq.augmented_star_gene_counts.tsv	349c2d023c5800bdf991ed6945cf61f5	4239356	validated
4d804ce4-aa09-4ffb-b2b6-d1e71af42b9c	4d804ce4-aa09-4ffb-b2b6-d1e71af42b9c/20b53d22-a134-4522-b7b8-b42782577ad9.rna_seq.augmented_star_gene_counts.tsv	99494d1463203ccf1f3d293417350861	4223230	validated
6037d66c-5c66-4a9f-a255-ee76a354b86e	6037d66c-5c66-4a9f-a255-ee76a354b86e/52f507d3-113b-4995-9b7a-8677e7812ef3.rna_seq.augmented_star_gene_counts.tsv	1a2b4a8bd085678df1bc98efbc8e1aa9	4246034	validated
64a2ddbe-3614-409a-af16-170a1471db2a	64a2ddbe-3614-409a-af16-170a1471db2a/3404cbdb-4d1b-462a-a820-58c4f01e84fc.rna_seq.augmented_star_gene_counts.tsv	807fc847881f8876e7d9a35c8cc5661d	4249319	validated
6a632943-e3a0-4c23-8a94-d18425abaa75	6a632943-e3a0-4c23-8a94-d18425abaa75/c0c076b8-8559-4403-ae4d-bfdf57522b59.rna_seq.augmented_star_gene_counts.tsv	5bc3cd81809b65b46c33b0dc45e09263	4234574	validated
74895f90-43ef-4d2e-ab0a-9e7177f9d27c	74895f90-43ef-4d2e-ab0a-9e7177f9d27c/bb335256-50b2-473f-a886-b62b7441c436.rna_seq.augmented_star_gene_counts.tsv	9da6caef7ee4a22fe52bf13657283d1f	4240739	validated
75a95ec8-b67a-4e0c-a959-61344628ab11	75a95ec8-b67a-4e0c-a959-61344628ab11/9ea6219c-d1fb-4f5b-bdab-c3492f180ac2.rna_seq.augmented_star_gene_counts.tsv	211ac5a87d1021fefd3cd5082bc26f28	4243645	validated
87f40fda-2a48-4cb6-8b65-e1b043661cce	87f40fda-2a48-4cb6-8b65-e1b043661cce/a400f64e-ec00-4cc0-8110-38b2e349c7cf.rna_seq.augmented_star_gene_counts.tsv	ea4b3eac6bc67b2c6b58bcb1eafe4f7e	4232820	validated
89dad61a-6e26-4fd2-b277-1e438092af86	89dad61a-6e26-4fd2-b277-1e438092af86/664dc12a-5d76-4efb-bb33-f0f58c937062.rna_seq.augmented_star_gene_counts.tsv	5a6048ece69a27534a78d5dfdd0f0e46	4241098	validated
9916e085-1027-4c91-9729-93dc36b71c86	9916e085-1027-4c91-9729-93dc36b71c86/2c25aa49-879a-4023-80b4-84df717dc537.rna_seq.augmented_star_gene_counts.tsv	f09d7d2d3ed79c6a9f2b68c649116ab9	4236023	validated
c410d37e-e445-4f5f-8937-e6796dd52364	c410d37e-e445-4f5f-8937-e6796dd52364/4cc96a03-4717-465b-b0c6-dfb947ff3c5e.rna_seq.augmented_star_gene_counts.tsv	389bd4ec6c26198dc7988f135fc34388	4246237	validated
c66cf9f2-a9c2-4b4b-8281-ac1593e87246	c66cf9f2-a9c2-4b4b-8281-ac1593e87246/a261b442-2909-4aae-8c65-7a16b1f7d905.rna_seq.augmented_star_gene_counts.tsv	aea3e8d4d7ba1f162fbd7f9ac791af74	4222639	validated
d8b840c7-e6cd-4cf9-824f-131fb18bf3b4	d8b840c7-e6cd-4cf9-824f-131fb18bf3b4/08dce278-ba8d-4ba0-90a1-e40820fd1740.rna_seq.augmented_star_gene_counts.tsv	a48bf9ac741487787d6b9209c262518f	4249712	validated
ddaed459-ab19-4f75-a1a9-72761287c6f5	ddaed459-ab19-4f75-a1a9-72761287c6f5/152343f6-832e-4077-83d3-1589ef71b472.rna_seq.augmented_star_gene_counts.tsv	0ed639f7025733b467ce55e3a50f9247	4242095	validated
ef068398-be98-409e-86aa-927f83bc5441	ef068398-be98-409e-86aa-927f83bc5441/f5e230a7-b044-4190-8b61-36260d8cd54c.rna_seq.augmented_star_gene_counts.tsv	a122b2996e5ddc9e7f17ab515068eb40	4251732	validated
